3,"813 ","AFFILIATED CB                                     ","                                                  ","16045351141","16045355174","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","MON - FRI: 7:30 TO 5:30 PM"
169,"ALL ","J W SMITH CB                                      ","                                                  ","9055427327 ","9055423982 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
170,"ALL ","JACK RUTHERFORD                                   ","                                                  ","18009485348","18003679593","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","M-F: 8:30-5"
171,"ALL ","JORI INTL                                         ","                                                  ","14035713200","14035713212","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","M-F: 8-4:30"
172,"ALL ","KEBEC CB                                          ","                                                  ","15146363800","15146367051","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
173,"ALL ","KEY CB                                            ","                                                  ","19058713631","19058712379","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
174,"ALL ","KING BROS LTD                                     ","                                                  ","12503841174","12503823231","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","M-F: TILL 5PM"
175,"351 ","KINTETSU WORLD EXPRESS                            ","                                                  ","15146364932","15146367430","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","MON TO FRI: 9 TO 5 PM"
176,"427 ","KINTETSU WORLD EXPRESS                            ","                                                  ","19058714221","19058716390","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
177,"453 ","KINTETSU WORLD EXPRESS                            ","                                                  ","15192508436","15192508769","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","MON TO FRI: 8:30 TO 11 SAT: 9 - 2 PM"
178,"502 ","KINTETSU WORLD EXPRESS                            ","                                                  ","16042737660","16042733721","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
179,"705 ","KINTETSU WORLD EXPRESS                            ","                                                  ","16042737660","16042733721","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
180,"813 ","KINTETSU WORLD EXPRESS                            ","                                                  ","16042737660","16042733721","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
181,"ALL ","KUEHNE & NAGEL                                    ","                                                  ","19058718055","18665566812","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
182,"453 ","KUEHNE & NAGEL                                    ","                                                  ","15192503916","15199690700","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","24 / 7 OFFICE"
183,"705 ","KUEHNE & NAGEL                                    ","                                                  ","14037178620","14037178656","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
184,"ALL ","KUEHNE & NAGEL (CLAIRES STORES)                   ","                                                  ","9055025257 ","9055016661 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
185,"ALL ","L & L IMPORTING                                   ","                                                  ","12047868506","12047830159","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
186,"427 ","LM CLARK                                          ","                                                  ","19058718470","19058718478","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
187,"453 ","LM CLARK                                          ","                                                  ","15192508000","18666345434","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","M-F: 8 TO MIDNIGHT"
188,"ALL ","LR CHARRON                                        ","                                                  ","18197580511","18197580515","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
189,"ALL ","LCS CB                                            ","                                                  ","19058501960","19058509242","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
190,"351 ","LEI CB                                            ","                                                  ","9054941880 ","9054941002 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
191,"427 ","LEI CB                                            ","                                                  ","9054941880 ","9054941002 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
192,"453 ","LEI CB                                            ","                                                  ","9054940880 ","9054940803 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
193,"502 ","LEI CB                                            ","                                                  ","16045235100","16045235126","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
194,"705 ","LEI CB                                            ","                                                  ","16045235100","16045383439","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
195,"813 ","LEI CB                                            ","                                                  ","16045235100","16045235126","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
196,"ALL ","LEVEILLE & FILS                                   ","                                                  ","14503788474","14503788700","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
197,"ALL ","LINAMAR                                           ","                                                  ","15198372580","15198373969","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","TILL 10:30 PM"
198,"ALL ","LINKPLUS                                          ","                                                  ","18884305465","15196813520","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","M-F: TILL MIDNIGHT"
199,"ALL ","LIVINGSTON INTL                                   ","na                                                ","18665487277","18665484685","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
200,"ALL ","A & A                                             ","                                                  ","18006634270","18005653010","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","24/7 OFFICE"
201,"ALL ","A & A (ALTERNATE)                                 ","                                                  ","18006634270","16045383994","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
202,"ALL ","A & A (ONE TIMERS)                                ","                                                  ","18006634270","16045427313","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","ONE TIMERS"
203,"ALL ","AD RUTHERFORD                                     ","                                                  ","12046337207","12046337236","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
204,"ALL ","AE HORNE & SON                                    ","                                                  ","15064661933","15064665529","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
205,"ALL ","ABC CB                                            ","                                                  ","16045385777","16045385666","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
206,"ALL ","ABSOLUTE GLOBAL LOGISTICS                         ","                                                  ","14032506560","18664350678","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","MON - FRI: 8 TO 8 SAT: 8 TO 4"
207,"ALL ","ABX LOGISTICS (THYSSON)                           ","                                                  ","9056781900 ","9056128385 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","MON - FRI: 8:30 - 5PM"
208,"ALL ","ACADEMY CB                                        ","                                                  ","4162139093 ","4162139020 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
209,"ALL ","ACADEMY CUSTOMS & TRAFFIC INC                     ","                                                  ","9056779834 ","9056777225 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
210,"ALL ","ACCURATE CB                                       ","                                                  ","9055641511 ","9055641578 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
211,"ALL ","ACTION CB (SERVICES)                              ","                                                  ","15146316663","15146314403","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","MON-FRI: 8 TO 5"
212,"ALL ","ACTIVE CB                                         ","                                                  ","4165046227 ","4165048374 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
213,"ALL ","ADVANTEX EXPRESS INC                              ","                                                  ","18776774999","18776775109","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
214,"351 ","AFFILIATED CB                                     ","                                                  ","14502463868","14502463884","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","24 / 7 OFFICE"
215,"427 ","AFFILIATED CB                                     ","                                                  ","19052624551","19052625585","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","MON - FRI : 7:30 TO 8 PM"
216,"453 ","AFFILIATED CB                                     ","                                                  ","15192508404","15192508407","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","24 / 7 OFFICE"
217,"440 ","AFFILIATED CB                                     ","                                                  ","15193374415","15193371137","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","24 / 7 OFFICE"
218,"ALL ","LIVINGSTON INTL  ATT: BARB WOOD                   ","BARB WOOD                                         ","n/a        ","9056760146 ","HEWLETTPACKARD@LIVINGSTONINTL.COM                 ","2007-06-08-15.01.31.000000","JSINOPOLI           ","HEWLETT PACKARD SHIPMENTS  EMAIL HP TEAM"
219,"ALL ","LIVINGSTON INTL (CLIENT DIRECT)                   ","                                                  ","n/a        ","9056760449 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","ONE TIMERS  EMAIL CLIENT DIRECT"
220,"ALL ","LIVINGSTON INTL (LOBLAWS)                         ","                                                  ","9056763700 ","9056760785 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
221,"ALL ","L.V.MATTHEWS CUSTOMS BROKERS                      ","                                                  ","14032873337","14032433618","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
222,"440 ","M GURZA CB                                        ","                                                  ","15193323130","15193449467","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","FAX BEFORE 7 PM"
223,"ALL ","M GURZA CB                                        ","                                                  ","9053620625 ","9053622940 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","M;W:TH 8-20; Tu & Fr 8-22"
224,"ALL ","ME PE SAMPSON                                     ","                                                  ","15065488841","15065489539","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
225,"ALL ","MEIER  COHEN CB                                   ","                                                  ","16042632366","16042637824","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
226,"ALL ","MERCHANT CB                                       ","                                                  ","15146360121","15146369093","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
227,"ALL ","METHERAL CB                                       ","                                                  ","17054457171","17054459627","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
228,"ALL ","MILGRAM CB                                        ","                                                  ","15142882161","15142883110","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","MON-FRI: 8 -11"
229,"ALL ","NEAR NORTH CB                                     ","                                                  ","17057390024","17057390268","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","TILL 11 PM"
230,"ALL ","NEWPORT LYMAN CB                                  ","                                                  ","19052620655","19052620656","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
231,"ALL ","NIPPON EXPRESS                                    ","                                                  ","15192508464","15192508467","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","24/7 OFFICE"
232,"ALL ","NO GLOBAL BORDERS INC                             ","                                                  ","4163604642 ","EMAIL ONLY ","cmcgregor@ngb.ca                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           "," Please e-mail all docs to  cmcgregor@ngb.ca"
233,"ALL ","NORMAN G JENSEN CANADA                            ","                                                  ","12044876628","12044890067","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","M - F: 8 - 19"
234,"ALL ","NORTHEX CB                                        ","                                                  ","19054280077","19054280744","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
235,"ALL ","NORTHLANDS LOGISTICS INC                          ","                                                  ","4164233191 ","4164232350 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","afterhours phone 4168072399 or 4168072398"
236,"ALL ","OAKVILLE CB                                       ","                                                  ","9058297070 ","9058298424 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","MON TO FRI: 8 TO 4:30 PM"
237,"ALL ","OMNITRANS                                         ","                                                  ","15142886664","18668772266","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","M-F: TILL 6PM"
238,"ALL ","OMNITRANS                                         ","                                                  ","15142886664","18668772266","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","M-F: TILL 6PM"
239,"813 ","OMNITRANS                                         ","                                                  ","16042799970","16042799975","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
241,"705 ","OMNITRANS                                         ","                                                  ","16042799970","16042799975","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
243,"ALL ","ORBIT BROKERS & FORWARDERS                        ","                                                  ","9056738798 ","9056738482 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
244,"ALL ","ORILLIA CB                                        ","                                                  ","17053275699","17053271175","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
245,"ALL ","PF COLLINS CB                                     ","                                                  ","17097267596","18008804242","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
246,"ALL ","P MINES CS                                        ","                                                  ","19058717434","19058714926","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
247,"ALL ","PAC EX CB                                         ","                                                  ","14032655365","14032654846","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","M-F: 8-MIDNIGHT SAT & SUN: 8-4"
248,"351 ","PACIFIC CB                                        ","                                                  ","16045381566","16045383984","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","24/7 OFFICE"
249,"427 ","PACIFIC CB                                        ","                                                  ","16045381566","16045383984","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","24/7 OFFICE"
250,"453 ","PACIFIC CB                                        ","                                                  ","16045381566","16045383984","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","24/7 OFFICE"
251,"502 ","PACIFIC CB                                        ","                                                  ","16045381566","16045383984","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","24/7 OFFICE"
252,"705 ","PACIFIC CB                                        ","                                                  ","16045381566","16045383984","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","24/7 OFFICE"
253,"813 ","PACIFIC CB                                        ","                                                  ","16045381566","16045383984","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","24/7 OFFICE"
254,"351 ","PANALPINA CB                                      ","                                                  ","15148224630","15146857298","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
255,"427 ","PANALPINA CB                                      ","                                                  ","19058716255","1905 871648","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
256,"453 ","PANALPINA CB                                      ","                                                  ","15192508010","15192508479","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","TILL 8 PM"
257,"502 ","PANALPINA CB                                      ","                                                  ","19057554500","19057554606","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
258,"705 ","PANALPINA CB                                      ","                                                  ","16046592666","16046895619","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
259,"813 ","PANALPINA CB                                      ","                                                  ","16045386464","16045382670","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
260,"ALL ","PARKVIEW CB (DEJONG)                              ","                                                  ","15194249007","15194243263","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","M-F: 8 TO 5"
261,"ALL ","PARKWOOD & CAVANAUGH                              ","                                                  ","9056120761 ","9056120805 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
262,"ALL ","PASSPORT CARGO                                    ","                                                  ","9052069940 ","9052069895 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
263,"351 ","PBB GLOBAL LOGISTICS                              ","                                                  ","14502463841","14502464232","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","M-FRIDAY 7 - 17 "
264,"427 ","PBB GLOBAL LOGISTICS                              ","                                                  ","19052624262","19052624100","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","24 / 7 "
265,"440 ","PBB GLOBAL LOGISTICS                              ","                                                  ","15193377501","15193323313","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
266,"453 ","PBB GLOBAL LOGISTICS                              ","                                                  ","15192534455","15199729254","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","24/7"
267,"502 ","PBB GLOBAL LOGISTICS                              ","                                                  ","12043732400","12043732599","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","M-F: 8 TO MIDNIGHT S&S: 8-4"
268,"705 ","PBB GLOBAL LOGISTICS                              ","                                                  ","14033443988","14033443052","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","M-F: 8- 18"
269,"813 ","PBB GLOBAL LOGISTICS                              ","                                                  ","16045381211","16045383755","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
271,"ALL ","PENINSULA CB                                      ","                                                  ","19058715922","19058711444","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
272,"ALL ","PERCY H DAVIS LTD                                 ","                                                  ","13069272165","13069272271","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
273,"ALL ","PRECISION CB                                      ","                                                  ","15148492115","15148490825","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
274,"ALL ","PREFERRED CB SERVICES                             ","                                                  ","16042706607","16042708983","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","M-F: 7-10PM"
275,"ALL ","PRESTIGE TRANISTAIRE INTL                         ","                                                  ","14504343770","14504345172","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
276,"ALL ","PS CB                                             ","                                                  ","9057959414 ","9057959405 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","M-F: 9-5"
277,"ALL ","R & W CB                                          ","                                                  ","15142768505","15142720276","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
278,"351 ","RA FARROW                                         ","                                                  ","15146361941","15146363222","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","MON - FRI: 8:30 TO 4:30"
279,"427 ","RA FARROW                                         ","                                                  ","19052624256","19052624024","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","MON-FRI: 8 TO MIDNIGHT SAT: 8:30 - 4:30 PM"
280,"453 ","RA FARROW                                         ","                                                  ","15199729905","15199729906","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","24 / 7 OFFICE"
281,"440 ","RA FARROW                                         ","                                                  ","15193442473","15193441780","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","24 / 7 OFFICE"
282,"ALL ","RA FARROW (BUCKLANDS)                             ","                                                  ","15197409335","15197403230","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","CONTACT: TIME NELSON EXT 310 OR TEAM 3"
283,"502 ","RA FARROW                                         ","                                                  ","14037350560","14032910644","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","www.Farrow.com"
284,"705 ","RA FARROW                                         ","                                                  ","14033443931","14033443012","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","MON - FRI: 8 AM TO 4:30 PM"
285,"813 ","RA FARROW                                         ","                                                  ","16045355220","16045353431","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","MON - FRI: 8 AM TO 4:30 PM"
286,"ALL ","RCS CUSTOMS SERVICES                              ","                                                  ","16045380115","16045383994","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","email:rcs@rcscustoms.com "
287,"ALL ","REDL SPORTS DIST (SELF CLEAR)                     ","                                                  ","16044202323","16044208176","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
288,"ALL ","REJEAN POISSANT CB                                ","                                                  ","14507435558","14507432208","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
289,"ALL ","RICHMOND CB                                       ","                                                  ","18198263715","18198266497","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
290,"ALL ","ROE LOGISTICS                                     ","                                                  ","15143960000","15143965546","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","MON-FRI: 8 - 5"
291,"502 ","ROE LOGISTICS                                     ","                                                  ","14032916651","14032914003","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
292,"813 ","ROE LOGISTICS                                     ","                                                  ","14032916651","14032914003","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
293,"ALL ","ROYAL CB                                          ","                                                  ","19058717961","19058718847","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
294,"ALL ","SAULT CB                                          ","                                                  ","17059451317","17059450841","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
296,"427 ","SCHENKER OF CANADA                                ","                                                  ","19052625600","19052625612","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
297,"351 ","SCHENKER OF CANADA                                ","                                                  ","15142857600","15142851359","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
298,"453 ","SCHENKER OF CANADA                                ","                                                  ","15192508200","15192508466","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","24 / 7 OFFICE CLEARS FOR OTHER PORTS"
299,"440 ","SCHENKER OF CANADA                                ","                                                  ","15192508200","15192508466","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","24 / 7 OFFICE CLEARS FOR OTHER PORTS"
301,"705 ","SCHENKER OF CANADA                                ","                                                  ","14032507313","14032912583","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","CALGARY M-F: 8-5"
302,"502 ","SCHENKER OF CANADA                                ","                                                  ","12049829570","12049829585","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
303,"813 ","SCHENKER OF CANADA                                ","                                                  ","16045381202","16045381404","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","M-F: 8:30-5 SAT UNTIL 1630"
304,"ALL ","SDV LOGISTICS                                     ","                                                  ","15149567870","15149567871","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","M-F: 80:30 - 7:30"
305,"ALL ","SEA AIR INTL                                      ","                                                  ","9056777701 ","9056773279 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
306,"ALL ","SECAM INTL                                        ","                                                  ","15146317151","15146361869","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","M-F:8-4:30"
307,"ALL ","SEAMONT BROKERAGE                                 ","                                                  ","15149310306","15149392120","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
308,"ALL ","SHELINA CB                                        ","                                                  ","9056712800 ","9056712665 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
309,"ALL ","SKYWAY CB                                         ","                                                  ","15146360250","15146369451","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
310,"ALL ","SM HEWITT (SARNIA)                                ","                                                  ","15193324411","15193324650","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
311,"ALL ","STRADER FERRIS                                    ","                                                  ","16139254271","16139254537","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
312,"ALL ","SUMMIT CB                                         ","                                                  ","16045388414","16045388148","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","24/7 OFFICE AFTER HOURS PH # 604-968-1562: www.summitcb.com"
313,"ALL ","SYNNEX                                            ","                                                  ","15198372444","4162402893 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","SELF CLEAR Phone : 15198372444 Ext 8270"
314,"ALL ","TEAM CARGO LOGISTICS                              ","                                                  ","9057895760 ","9057898975 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
315,"ALL ","TECH DATA  ATTN:JANET                             ","                                                  ","9052866800 ","9052866968 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","SELF CLEAR  ext 22607"
316,"ALL ","TELE FREIGHT LTD                                  ","                                                  ","17054662073","17054666458","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
317,"ALL ","TELE FREIGHT LTD                                  ","                                                  ","4166740792 ","4166741667 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","24/7 OFFICE"
318,"ALL ","TENAQUIP LIMITED ATTN LINDA                       ","                                                  ","15144577122","15144572532","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","SELF CLEAR"
319,"ALL ","THOMPSON AHERN & CO LTD                           ","                                                  ","9056773471 ","9056773464 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
320,"440 ","THOMPSON AHERN & CO LTD                           ","                                                  ","15192500400","15192508529","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","8-MIDNIGHT"
321,"502 ","THOMPSON AHERN & CO LTD                           ","                                                  ","15192500400","15192508529","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","8-MIDNIGHT"
322,"ALL ","TRADERS CB LTD                                    ","                                                  ","9058551334 ","9058551375 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
323,"ALL ","TRANSPACIFIC CB                                   ","                                                  ","16042706811","16042709389","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
324,"ALL ","TRANSLINKS CB                                     ","                                                  ","16046888823","16046898782","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","M-F: 8-4"
325,"ALL ","TRI AD INTL                                       ","                                                  ","9056248214 ","9056245175 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
326,"ALL ","TRILLIUM CB CB                                    ","                                                  ","9056299505 ","9056291865 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
327,"ALL ","TUDOR CB LTD                                      ","                                                  ","9056249564 ","9056249041 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
328,"427 ","UNIVERSAL LOGISTICS INC                           ","                                                  ","19052625381","19052625865","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
329,"453 ","UNIVERSAL LOGISTICS INC                           ","                                                  ","15199728050","15199728072","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","TILL 10 PM"
330,"440 ","UNIVERSAL LOGISTICS INC                           ","                                                  ","15199728050","15199728072","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","TILL 10 PM"
331,"ALL ","UNIVERSAL LOGISTICS INC                           ","                                                  ","19058710220","19058715278","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
332,"ALL ","UPS BROKERAGE                                     ","                                                  ","18002038132","18002206944","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","8:30 TO 8 AFTER HOURS PHONE: 1-866-440-1287"
333,"351 ","UPS SCS                                           ","                                                  ","14502463828","14502462920","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","24 / 7 OFFICE"
334,"427 ","UPS SCS                                           ","                                                  ","19052624111","19052624499","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","MON - FRI: 8 TO MIDNIGHT SAT: 8 - 4"
335,"440 ","UPS SCS                                           ","                                                  ","15193371883","15193371885","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","24 / 7 OFFICE"
336,"453 ","UPS SCS                                           ","                                                  ","15199729800","15199729880","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","24 / 7 OFFICE"
337,"502 ","UPS SCS                                           ","                                                  ","12043732485","12043732497","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","MON - FRI: 8:30 TO 5 PM"
338,"705 ","UPS SCS                                           ","                                                  ","14033442013","14033442012","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","MON - FRI: 8 TO 5 SAT: 9 TO 12 PM"
